produto_id_inexistente,arquivos,bytes
39100,3,182023
39101,3,225573
39104,4,292462
39105,3,164467
39110,3,182893
39115,3,224164
39125,3,211988
39140,2,115872
39143,2,105026
39224,1,37961
39225,2,120543
39228,3,221056
39293,1,50723
39506,1,19445
39507,1,19445
39508,1,19445
39673,3,65584
39676,3,61456
39680,3,83055
39684,3,84917
39688,3,61922
39699,3,61922
39707,3,61922
39711,3,61922
39723,3,61922
39726,3,61922
39731,3,61922
39735,3,61922
39738,1,19445
39743,3,61922
39756,3,61922
39765,3,61922
39771,3,52045
39775,1,17691
39783,4,80826
39791,3,61922
39801,3,61922
39802,1,17691
39812,1,17691
39818,3,61922
39840,3,61922
39842,3,61922
39843,3,92034
3998,3,247151
4,4,111936
40,3,121824
40176,1,52630
40184,3,128905
40213,4,143216
40214,7,314719
40227,8,4424317
40243,5,465554
40244,11,923582
40273,6,480033
40285,6,607414
40288,6,412865
40295,7,496705
40296,5,256572
40337,10,1053967
40392,4,865323
40408,10,4297815
40432,7,707066
40442,8,1118748
40443,4,264527
40452,10,687647
40491,7,464187
40503,14,918951
40521,9,5237230
40528,6,289805
40566,4,175495
40697,3,278817
40706,3,136568
40709,4,401510
